# Epoch 114, Stage -2x-2, TotalSamples=10
# Column mapping: sample_idx=SampleID | sample_type=Pos/Neg | fruit_type=Input | gt_label=Code | pred_prob/pred_label=Model
sample_idx,sample_type,y,x,fruit_type,gt_label,pred_prob,pred_label
0,positive,0,0,2,0,0.000000,0
0,positive,0,1,0,0,0.000000,0
0,positive,0,2,2,0,0.000000,0
0,positive,0,3,2,0,0.000000,0
0,positive,0,4,2,0,0.000000,0
0,positive,0,5,0,0,0.000000,0
0,positive,0,6,2,0,0.000000,0
0,positive,0,7,0,0,0.000000,0
0,positive,0,8,2,0,0.000000,0
0,positive,0,9,2,0,0.000000,0
0,positive,0,10,2,0,0.000000,0
0,positive,0,11,2,0,0.000000,0
0,positive,0,12,2,0,0.000000,0
0,positive,0,13,2,0,0.000000,0
0,positive,0,14,0,0,0.000000,0
0,positive,0,15,2,0,0.000000,0
0,positive,0,16,2,0,0.000000,0
0,positive,0,17,0,0,0.000000,0
0,positive,0,18,2,0,0.000000,0
0,positive,0,19,2,0,0.000000,0
0,positive,0,20,2,0,0.000000,0
0,positive,0,21,2,0,0.000000,0
0,positive,0,22,2,0,0.000000,0
0,positive,0,23,2,0,0.000000,0
0,positive,0,24,2,0,0.000000,0
0,positive,0,25,2,0,0.000000,0
0,positive,0,26,2,0,0.000000,0
0,positive,0,27,2,0,0.000000,0
0,positive,0,28,2,0,0.000000,0
0,positive,0,29,0,0,0.000000,0
0,positive,0,30,0,0,0.000000,0
0,positive,0,31,2,0,0.000000,0
0,positive,0,32,2,0,0.000000,0
0,positive,0,33,2,0,0.000000,0
0,positive,0,34,0,0,0.000000,0
0,positive,0,35,2,0,0.000000,0
0,positive,0,36,2,0,0.000000,0
0,positive,0,37,0,0,0.000000,0
0,positive,0,38,2,0,0.000000,0
0,positive,0,39,2,0,0.000000,0
0,positive,0,40,2,0,0.000000,0
0,positive,0,41,0,0,0.000000,0
0,positive,0,42,2,0,0.000000,0
0,positive,0,43,2,0,0.000000,0
0,positive,0,44,2,0,0.000000,0
0,positive,0,45,2,0,0.000000,0
0,positive,0,46,2,0,0.000000,0
0,positive,0,47,2,0,0.000000,0
0,positive,0,48,0,0,0.000000,0
0,positive,0,49,2,0,0.000000,0
0,positive,1,0,2,0,0.000000,0
0,positive,1,1,2,0,0.000000,0
0,positive,1,2,2,0,0.000000,0
0,positive,1,3,0,0,0.000000,0
0,positive,1,4,0,0,0.000000,0
0,positive,1,5,2,0,0.000000,0
0,positive,1,6,2,0,0.000000,0
0,positive,1,7,2,0,0.000000,0
0,positive,1,8,2,0,0.000000,0
0,positive,1,9,2,0,0.000000,0
0,positive,1,10,2,0,0.000000,0
0,positive,1,11,2,0,0.000000,0
0,positive,1,12,2,0,0.000000,0
0,positive,1,13,2,0,0.000000,0
0,positive,1,14,2,0,0.000000,0
0,positive,1,15,2,0,0.000000,0
0,positive,1,16,2,0,0.000000,0
0,positive,1,17,2,0,0.000000,0
0,positive,1,18,2,0,0.000000,0
0,positive,1,19,2,0,0.000000,0
0,positive,1,20,2,0,0.000000,0
0,positive,1,21,2,0,0.000000,0
0,positive,1,22,2,0,0.000000,0
0,positive,1,23,2,0,0.000000,0
0,positive,1,24,2,0,0.000000,0
0,positive,1,25,2,0,0.000000,0
0,positive,1,26,2,0,0.000000,0
0,positive,1,27,2,0,0.000000,0
0,positive,1,28,0,0,0.000000,0
0,positive,1,29,2,0,0.000000,0
0,positive,1,30,2,0,0.000000,0
0,positive,1,31,2,0,0.000000,0
0,positive,1,32,2,0,0.000000,0
0,positive,1,33,2,0,0.000000,0
0,positive,1,34,2,0,0.000000,0
0,positive,1,35,2,0,0.000000,0
0,positive,1,36,2,0,0.000000,0
0,positive,1,37,2,0,0.000000,0
0,positive,1,38,0,0,0.000000,0
0,positive,1,39,0,0,0.000000,0
0,positive,1,40,2,0,0.000000,0
0,positive,1,41,0,0,0.000000,0
0,positive,1,42,2,0,0.000000,0
0,positive,1,43,2,0,0.000000,0
0,positive,1,44,2,0,0.000000,0
0,positive,1,45,2,0,0.000000,0
0,positive,1,46,2,0,0.000000,0
0,positive,1,47,2,0,0.000000,0
0,positive,1,48,0,0,0.000000,0
0,positive,1,49,0,0,0.000000,0
0,positive,2,0,0,0,0.000000,0
0,positive,2,1,2,0,0.000000,0
0,positive,2,2,2,0,0.000000,0
0,positive,2,3,2,0,0.000000,0
0,positive,2,4,2,0,0.000000,0
0,positive,2,5,2,0,0.000000,0
0,positive,2,6,0,0,0.000000,0
0,positive,2,7,2,0,0.000000,0
0,positive,2,8,2,0,0.000000,0
0,positive,2,9,2,0,0.000000,0
0,positive,2,10,2,0,0.000000,0
0,positive,2,11,2,0,0.000000,0
0,positive,2,12,2,0,0.000000,0
0,positive,2,13,2,0,0.000000,0
0,positive,2,14,2,0,0.000000,0
0,positive,2,15,2,0,0.000000,0
0,positive,2,16,0,0,0.000000,0
0,positive,2,17,2,0,0.000000,0
0,positive,2,18,2,0,0.000000,0
0,positive,2,19,2,0,0.000000,0
0,positive,2,20,0,0,0.000000,0
0,positive,2,21,2,0,0.000000,0
0,positive,2,22,2,0,0.000000,0
0,positive,2,23,2,0,0.000000,0
0,positive,2,24,0,0,0.000000,0
0,positive,2,25,0,0,0.000000,0
0,positive,2,26,2,0,0.000000,0
0,positive,2,27,2,0,0.000000,0
0,positive,2,28,2,0,0.000000,0
0,positive,2,29,0,0,0.000000,0
0,positive,2,30,2,0,0.000000,0
0,positive,2,31,0,0,0.000000,0
0,positive,2,32,2,0,0.000000,0
0,positive,2,33,2,0,0.000000,0
0,positive,2,34,2,0,0.000000,0
0,positive,2,35,2,0,0.000000,0
0,positive,2,36,0,0,0.000000,0
0,positive,2,37,2,0,0.000000,0
0,positive,2,38,0,0,0.000000,0
0,positive,2,39,2,0,0.000000,0
0,positive,2,40,2,0,0.000000,0
0,positive,2,41,2,0,0.000000,0
0,positive,2,42,2,0,0.000000,0
0,positive,2,43,2,0,0.000000,0
0,positive,2,44,0,0,0.000000,0
0,positive,2,45,0,0,0.000000,0
0,positive,2,46,2,0,0.000000,0
0,positive,2,47,2,0,0.000000,0
0,positive,2,48,2,0,0.000000,0
0,positive,2,49,2,0,0.000000,0
0,positive,3,0,2,0,0.000000,0
0,positive,3,1,2,0,0.000000,0
0,positive,3,2,2,0,0.000000,0
0,positive,3,3,2,0,0.000000,0
0,positive,3,4,2,0,0.000000,0
0,positive,3,5,0,0,0.000000,0
0,positive,3,6,2,0,0.000000,0
0,positive,3,7,2,0,0.000000,0
0,positive,3,8,0,0,0.000000,0
0,positive,3,9,2,0,0.000000,0
0,positive,3,10,0,0,0.000000,0
0,positive,3,11,2,0,0.000000,0
0,positive,3,12,2,0,0.000000,0
0,positive,3,13,2,0,0.000000,0
0,positive,3,14,2,0,0.000000,0
0,positive,3,15,2,0,0.000000,0
0,positive,3,16,2,0,0.000000,0
0,positive,3,17,0,0,0.000000,0
0,positive,3,18,2,0,0.000000,0
0,positive,3,19,2,0,0.000000,0
0,positive,3,20,2,0,0.000000,0
0,positive,3,21,2,0,0.000000,0
0,positive,3,22,2,0,0.000000,0
0,positive,3,23,2,0,0.000000,0
0,positive,3,24,2,0,0.000000,0
0,positive,3,25,2,0,0.000000,0
0,positive,3,26,2,0,0.000000,0
0,positive,3,27,2,0,0.000000,0
0,positive,3,28,0,0,0.000000,0
0,positive,3,29,2,0,0.000000,0
0,positive,3,30,2,0,0.000000,0
0,positive,3,31,2,0,0.000000,0
0,positive,3,32,2,0,0.000000,0
